tranche,month_since,Active,total_usage,mean_usage,median_usage,info_total,social_total,game_total,Total,active_share,usage_per_user
Tranche 1,0,124,3160,25.4838709677419,13,1165,219,406,171,0.725146198830409,18.4795321637427
Tranche 1,1,64,1307,20.421875,8,490,81,153,171,0.374269005847953,7.64327485380117
Tranche 1,2,36,1013,28.1388888888889,11.5,374,56,139,171,0.210526315789474,5.92397660818713
Tranche 1,3,24,627,26.125,10,243,22,82,171,0.140350877192982,3.66666666666667
Tranche 1,4,28,586,20.9285714285714,7,210,27,87,171,0.16374269005848,3.42690058479532
Tranche 1,5,23,560,24.3478260869565,11,196,20,87,171,0.134502923976608,3.27485380116959
Tranche 1,6,19,559,29.421052631579,8,196,18,80,171,0.111111111111111,3.26900584795322
Tranche 1,7,20,631,31.55,9,213,30,92,171,0.116959064327485,3.69005847953216
Tranche 1,8,17,473,27.8235294117647,7,158,16,80,171,0.0994152046783626,2.76608187134503
Tranche 1,9,17,578,34,10,208,17,100,171,0.0994152046783626,3.38011695906433
Tranche 1,10,14,449,32.0714285714286,4,170,15,67,171,0.0818713450292398,2.62573099415205
Tranche 1,11,20,494,24.7,8.5,195,17,61,171,0.116959064327485,2.88888888888889
Tranche 1,12,14,482,34.4285714285714,8,187,14,65,171,0.0818713450292398,2.8187134502924
Tranche 1,13,10,440,44,23,177,9,53,171,0.0584795321637427,2.57309941520468
Tranche 1,14,11,436,39.6363636363636,10,167,4,71,171,0.064327485380117,2.54970760233918
Tranche 1,15,14,403,28.7857142857143,15.5,163,10,44,171,0.0818713450292398,2.35672514619883
Tranche 1,16,23,242,10.5217391304348,4,93,7,35,171,0.134502923976608,1.41520467836257
Tranche 2,0,102,1585,15.5392156862745,11,579,154,186,196,0.520408163265306,8.08673469387755
Tranche 2,1,69,1690,24.4927536231884,11,614,126,225,196,0.352040816326531,8.62244897959184
Tranche 2,2,47,1225,26.063829787234,8,447,91,152,196,0.239795918367347,6.25
Tranche 2,3,34,982,28.8823529411765,14.5,373,80,104,196,0.173469387755102,5.01020408163265
Tranche 2,4,33,915,27.7272727272727,18,348,81,81,196,0.168367346938776,4.66836734693878
Tranche 2,5,30,793,26.4333333333333,10,294,59,91,196,0.153061224489796,4.04591836734694
Tranche 2,6,32,914,28.5625,8.5,335,69,115,196,0.163265306122449,4.66326530612245
Tranche 2,7,26,733,28.1923076923077,5.5,265,51,104,196,0.13265306122449,3.73979591836735
Tranche 2,8,33,653,19.7878787878788,8,245,37,84,196,0.168367346938776,3.33163265306122
Tranche 2,9,25,710,28.4,15,267,31,98,196,0.127551020408163,3.62244897959184
Tranche 2,10,18,534,29.6666666666667,9,192,11,99,196,0.0918367346938776,2.72448979591837
Tranche 2,11,19,633,33.3157894736842,9,235,23,97,196,0.0969387755102041,3.22959183673469
Tranche 2,12,20,361,18.05,8,143,18,38,196,0.102040816326531,1.84183673469388
Tranche 2,13,31,272,8.7741935483871,2,108,14,29,196,0.158163265306122,1.38775510204082
Tranche 3,0,46,588,12.7826086956522,8,226,48,56,82,0.560975609756098,7.17073170731707
Tranche 3,1,31,842,27.1612903225806,14,332,63,69,82,0.378048780487805,10.2682926829268
Tranche 3,2,19,674,35.4736842105263,26,266,46,58,82,0.231707317073171,8.21951219512195
Tranche 3,3,17,580,34.1176470588235,18,216,39,70,82,0.207317073170732,7.07317073170732
Tranche 3,4,15,448,29.8666666666667,15,178,29,38,82,0.182926829268293,5.46341463414634
Tranche 3,5,12,358,29.8333333333333,26,134,35,34,82,0.146341463414634,4.36585365853659
Tranche 3,6,14,277,19.7857142857143,13.5,111,39,8,82,0.170731707317073,3.37804878048781
Tranche 3,7,13,317,24.3846153846154,6,113,45,28,82,0.158536585365854,3.86585365853659
Tranche 3,8,8,352,44,11,127,42,37,82,0.0975609756097561,4.29268292682927
Tranche 3,9,11,308,28,16,118,28,28,82,0.134146341463415,3.75609756097561
Tranche 3,10,11,319,29,14,114,39,34,82,0.134146341463415,3.89024390243902
Tranche 3,11,13,238,18.3076923076923,5,85,25,29,82,0.158536585365854,2.90243902439024
